N,α,λ,nsamples,t,t_err,E,E_err
40,0.2,0.5,100,55.519999999999996,2.748423974468703,0.5208033902107969,0.028297432558744152
40,0.2,0.2,100,56.18,2.7516158705367832,0.4867604912298019,0.03198320782833621
40,0.2,0.9,100,49.21,2.9713206600174384,0.5308201305522566,0.02811900260258765
40,0.2,0.8,100,47.96,2.7694188574646503,0.5259125493613069,0.030998766854202515
40,0.2,0.7,100,47.379999999999995,3.042718747064437,0.5836860492513019,0.025826242517407554
40,0.2,0.1,100,54.05,2.927037837994327,0.460661461650798,0.028158621741292862
40,0.2,0.6,100,50.94,2.839220977235791,0.4937015080301683,0.02981076528796121
40,0.2,0.4,100,55.06,2.852460217589247,0.5280523071961222,0.02965207083405895
40,0.2,1.0,100,56.83,2.6668581370654727,0.5002246770353422,0.030413912996243256
40,0.2,0.3,100,51.099999999999994,2.9751326258528614,0.48606431914948595,0.027230527126365922
