N,α,λ,nsamples,t,t_err,E,E_err
70,0.2,0.4,100,51.75,2.819892361295539,0.46546363385605505,0.027713422286736126
70,0.2,1.0,100,50.970000000000006,2.660388632656454,0.4401178453863642,0.028257369917286217
70,0.2,0.7,100,52.370000000000005,2.694613219747948,0.526389628421308,0.030405107852468517
70,0.2,0.2,100,49.96,2.81392353424283,0.47736501155547917,0.02925353914196706
70,0.2,0.5,100,46.980000000000004,3.0588166986531897,0.4888032565469825,0.02968517699625354
70,0.2,0.3,100,49.31999999999999,2.9533025513136915,0.47508490805799997,0.029168934211596036
70,0.2,0.9,100,46.0,2.8061260546068554,0.5065559165707411,0.02956759910230457
70,0.2,0.6,100,47.66,2.8179518316061625,0.534343545084581,0.02936563089050217
70,0.2,0.8,100,56.82000000000001,2.5811820954944293,0.461938162980483,0.02685937586029249
70,0.2,0.1,100,50.84,3.0703443033989104,0.5646869651859285,0.0288380574487153
