N,α,λ,nsamples,t,t_err,E,E_err
40,0.2,0.1,10,51.9,8.651846302636475,0.46921144377572854,0.05311997661507526
40,0.2,0.2,10,56.00000000000001,11.08552609887726,0.3764821818597747,0.08257350484910184
40,0.2,0.3,10,36.3,9.241272158697152,0.533000310106627,0.06161715328598759
40,0.2,0.4,10,63.5,7.730531101490447,0.4572291838677831,0.10734197811082173
40,0.2,0.5,10,49.2,8.589140430411726,0.457596452271076,0.08628805813240603
40,0.2,0.6,10,59.1,8.605489204248904,0.43096049890993765,0.11386902668543407
40,0.2,0.7,10,34.1,6.4969223483123155,0.5090182462077111,0.1149378445676985
40,0.2,0.8,10,52.8,9.014556130072197,0.5296338249812378,0.1008671387027681
40,0.2,0.9,10,47.9,10.74187031097368,0.38982997130783364,0.08067682462331607
40,0.2,1.0,10,63.8,8.138795979750322,0.5042620631761503,0.10596553835336815
