N,α,λ,nsamples,t,t_err,E,E_err
50,0.2,0.4,100,52.67,2.7449146736568273,0.501641930746485,0.029482106179850833
50,0.2,0.9,100,50.14,2.946870279541406,0.44072627877991066,0.02726185895896716
50,0.2,0.6,100,46.87,2.8847440934766615,0.4853059103176893,0.030519095201349513
50,0.2,1.0,100,50.480000000000004,2.707284598816663,0.5218029987619854,0.02444403874193447
50,0.2,0.2,100,52.91,2.7615723452739416,0.4585503398714832,0.02845392502579015
50,0.2,0.8,100,47.959999999999994,2.6875289991388227,0.4635928079138638,0.030537524733797207
50,0.2,0.3,100,50.230000000000004,2.7987679468298228,0.48586621002109,0.03053897154786699
50,0.2,0.1,100,51.150000000000006,3.1021782832406815,0.4890803267980626,0.031409219608616916
50,0.2,0.5,100,51.629999999999995,2.9272200415611347,0.4888676290419756,0.026957948058345848
50,0.2,0.7,100,50.0,2.9490625115398448,0.4976684248991469,0.02689599343236215
