N,α,λ,nsamples,t,t_err,E,E_err
40,0.2,0.1,10,38.6,11.432118497169864,0.4885223071523557,0.06970636112268701
40,0.2,0.2,10,74.9,4.498024257629367,0.5097008314762999,0.1062706202137993
40,0.2,0.3,10,76.9,6.778151173685443,0.5381729685462583,0.09402140924530442
40,0.2,0.4,10,65.5,8.49215324088459,0.5301546037524384,0.08171673601352496
40,0.2,0.5,10,32.699999999999996,8.844395588921458,0.510288222379432,0.07510763798512979
40,0.2,0.6,10,44.7,8.362681653898134,0.43050236720632346,0.09132825772421341
40,0.2,0.7,10,62.1,8.873744042586157,0.40744872495465306,0.09585721955960623
40,0.2,0.8,10,47.0,7.919034733546199,0.4023797341088877,0.0823041712204439
40,0.2,0.9,10,52.7,9.702290680269503,0.5328231612391515,0.10932375721034494
40,0.2,1.0,10,60.2,10.77115489526438,0.4768607735928768,0.08663399385233515
